,GEN_VALIDITY,NORMAL_EST,REAL_BOT_EVA,D_Loss_Real,D_Loss_Fake,G_Loss,Time
98,0.4611,0.3882,0.3585,1.0339819,0.6523379,0.8181203,
99,0.4608,0.3934,0.3658,1.01827,0.6507285,0.8059378,
100,0.4569,0.3945,0.3665,1.026669,0.6525345,0.8144986,
101,0.4615,0.4159,0.3832,1.0359639,0.6554392,0.8179827,
102,0.4618,0.4202,0.3896,1.0282764,0.6607469,0.8122859,
103,0.4636,0.4149,0.3829,1.0224658,0.6575094,0.7995858,
104,0.4592,0.4218,0.3889,0.99464774,0.65437716,0.8189688,
105,0.4587,0.4168,0.3853,0.99314743,0.65592676,0.83244693,
106,0.4618,0.4299,0.3957,1.010362,0.6506326,0.8018083,
107,0.462,0.4344,0.4012,0.9862021,0.6513445,0.79568684,
108,0.461,0.4397,0.404,0.9886069,0.65297455,0.8105707,
109,0.462,0.444,0.4092,0.9956385,0.6585214,0.80909693,
110,0.4591,0.4426,0.4093,0.9727944,0.65380573,0.81944805,
111,0.4615,0.4465,0.4141,1.0041863,0.65376604,0.8254832,
112,0.4615,0.4742,0.4393,0.9577381,0.65370595,0.8392354,
113,0.4615,0.4563,0.4198,0.9443342,0.6497151,0.79754806,
114,0.4604,0.4505,0.4103,0.97539425,0.6528823,0.81320643,
115,0.4629,0.449,0.41,0.9562928,0.65139186,0.811241,
116,0.468,0.4549,0.4171,0.96407604,0.6517723,0.7901018,
117,0.4626,0.462,0.4236,0.96732324,0.6578807,0.8015012,
118,0.4641,0.4701,0.4311,0.9676826,0.6519332,0.7982407,
119,0.464,0.4638,0.4252,0.95903397,0.6532758,0.7936925,
120,0.464,0.4708,0.4324,0.95083296,0.6539579,0.81194526,
121,0.4628,0.4739,0.4337,0.95284754,0.65560085,0.8002319,
122,0.4673,0.4751,0.4344,0.9554857,0.6503632,0.78693986,
123,0.4689,0.479,0.4417,0.9548,0.65552735,0.785518,
124,0.467,0.4962,0.4546,0.923539,0.65178406,0.7799529,
125,0.4659,0.4901,0.4512,0.92640644,0.65025526,0.84161365,
126,0.4684,0.4803,0.4412,0.9281398,0.6523185,0.78469956,
127,0.4649,0.4984,0.4587,0.9562191,0.6492816,0.8081279,
128,0.4656,0.5074,0.4687,0.94155705,0.65042526,0.8202073,
129,0.4674,0.4962,0.4548,0.9580939,0.6502058,0.801466,
130,0.4682,0.5137,0.4713,0.93378687,0.6550453,0.8128566,
131,0.4679,0.5118,0.4706,0.9259838,0.65320945,0.80181026,
132,0.469,0.5077,0.4666,0.95196635,0.65303105,0.7799376,
133,0.4679,0.4938,0.4527,0.9101244,0.6496099,0.7867432,
134,0.4697,0.5298,0.4847,0.93715954,0.64989233,0.7956687,
135,0.4711,0.5032,0.458,0.92697304,0.65607345,0.80886173,
136,0.4703,0.5027,0.4567,0.9276309,0.6515712,0.7776281,
137,0.4698,0.5256,0.475,0.9091572,0.65029657,0.7987536,
138,0.4725,0.5058,0.4593,0.9056161,0.6529274,0.80600923,
139,0.4677,0.4991,0.4523,0.92588484,0.6528847,0.7841883,
140,0.4712,0.5312,0.4844,0.92887807,0.64886487,0.7760806,
141,0.472,0.5326,0.4847,0.916792,0.65406084,0.79007536,
142,0.4737,0.5284,0.4834,0.8852524,0.65024686,0.7948107,
143,0.4725,0.5363,0.4929,0.91075057,0.64953035,0.770412,
144,0.4694,0.5264,0.4798,0.9061539,0.65058196,0.78688633,
145,0.472,0.5468,0.501,0.8900124,0.6519121,0.8088255,
146,0.4728,0.5463,0.5025,0.8797095,0.65261513,0.82744396,
147,0.4749,0.5086,0.4641,0.90784067,0.6509099,0.7969438,
148,0.4711,0.5404,0.4964,0.92235106,0.6516039,0.7882537,
149,0.4695,0.5506,0.5092,0.88043296,0.64771926,0.8066616,
