,GEN_VALIDITY,NORMAL_EST,REAL_BOT_EVA,D_Loss_Real,D_Loss_Fake,G_Loss,Time
0,0.5074,0.5613,0.5733,1.8673723,1.8773966,1.5476966,53.7
1,0.4871,0.5002,0.4597,1.3726311,0.8868437,1.0069497,
2,0.4807,0.2626,0.2336,1.1544572,0.6851834,0.7926397,
3,0.4739,0.1401,0.1103,0.9681704,0.67411065,0.79666215,
4,0.4781,0.0322,0.0322,0.90481335,0.68120927,0.766853,
5,0.4834,0.0067,0.0081,0.86763024,0.6724823,0.7413849,
6,0.4883,0.0014,0.0016,0.7959685,0.6863085,0.73399353,
7,0.4912,0.0006,0.0005,0.7889912,0.69165796,0.7235419,
8,0.4927,0.0002,0.0002,0.7842347,0.6905567,0.7210015,
9,0.4957,0.0,0.0,0.7673883,0.69334006,0.70325345,
10,0.4966,0.0,0.0,0.7450988,0.6947423,0.7056585,
11,0.4979,0.0,0.0,0.7575712,0.6937266,0.70387423,
12,0.4992,0.0,0.0,0.7450279,0.6934271,0.69819623,
13,0.4974,0.0,0.0,0.7549207,0.7041749,0.70425993,
14,0.4992,0.0,0.0,0.7409914,0.69565815,0.7063759,
15,0.5002,0.0,0.0,0.73660624,0.6959306,0.69632417,
16,0.5,0.0,0.0,0.73988765,0.6959403,0.69372165,
17,0.5007,0.0,0.0,0.7545934,0.69607604,0.69126445,
18,0.5017,0.0,0.0,0.7244013,0.696819,0.6955275,
19,0.5014,0.0,0.0,0.72086966,0.696087,0.69542176,
20,0.5005,0.0,0.0,0.7194525,0.6971059,0.6967744,
21,0.5009,0.0,0.0,0.7267453,0.6960307,0.69440347,
22,0.5,0.0,0.0,0.7290595,0.6965661,0.69728833,
23,0.5011,0.0,0.0,0.7375149,0.6960747,0.69439584,
24,0.5018,0.0,0.0,0.73022425,0.6958901,0.6926334,
25,0.5007,0.0,0.0,0.75380635,0.69629055,0.69133294,
26,0.5014,0.0,0.0,0.7506564,0.69568276,0.69040823,
27,0.4999,0.0,0.0,0.7290879,0.696371,0.6965755,
28,0.5016,0.0,0.0,0.7242975,0.6957927,0.69006956,
29,0.5019,0.0,0.0,0.7350727,0.6960234,0.6907397,
30,0.5012,0.0,0.0,0.7535166,0.6956181,0.6918146,
31,0.5003,0.0,0.0,0.7570414,0.69589454,0.69468004,
32,0.5007,0.0,0.0,0.7553276,0.6957648,0.6910931,
33,0.5016,0.0,0.0,0.7209583,0.6962103,0.6913757,
34,0.5007,0.0,0.0,0.727002,0.695484,0.69054,
35,0.5005,0.0,0.0,0.72640795,0.6954906,0.69360435,
36,0.5012,0.0,0.0,0.72235495,0.695383,0.6921119,
37,0.5006,0.0,0.0,0.70439184,0.6963241,0.69416183,
38,0.501,0.0,0.0,0.73209685,0.6954275,0.6935814,
39,0.5006,0.0,0.0,0.73120207,0.6958341,0.69174594,
40,0.5011,0.0,0.0,0.71748894,0.6954884,0.69245094,
41,0.5012,0.0,0.0,0.72882164,0.69546956,0.69302064,
42,0.501,0.0,0.0,0.72844505,0.6953114,0.6927383,
43,0.5008,0.0,0.0,0.73266023,0.69528997,0.6918295,
44,0.5012,0.0,0.0,0.7335077,0.6952207,0.69138545,
45,0.5009,0.0,0.0,0.74067116,0.69519657,0.6920811,
46,0.5009,0.0,0.0,0.71074694,0.6953336,0.6926978,
47,0.5017,0.0,0.0,0.72331274,0.6951858,0.6971098,
48,0.5015,0.0,0.0,0.7299964,0.6952539,0.69191206,
49,0.5011,0.0,0.0,0.7180365,0.6951212,0.690947,
50,0.5008,0.0,0.0,0.7098769,0.69520193,0.6926054,
51,0.5009,0.0,0.0,0.7646664,0.6952448,0.6925731,
52,0.5012,0.0,0.0,0.7568232,0.6950544,0.69138914,
53,0.5015,0.0,0.0,0.7288051,0.6949673,0.69078296,
54,0.5008,0.0,0.0,0.7292563,0.6951846,0.693493,
55,0.5007,0.0,0.0,0.73568124,0.69505304,0.6923531,
56,0.5009,0.0,0.0,0.72556007,0.6950111,0.69258624,
57,0.5006,0.0,0.0,0.7434254,0.69507277,0.6932152,
58,0.5009,0.0,0.0,0.74396956,0.69489306,0.69088805,
