,GEN_VALIDITY,NORMAL_EST,REAL_BOT_EVA,D_Loss_Real,D_Loss_Fake,G_Loss,Time
88,0.4886,0.9755,0.9638,0.88910306,0.68361574,0.74185956,
89,0.4894,0.9786,0.967,0.89800906,0.6835367,0.7392763,
90,0.4895,0.9784,0.9654,0.88517433,0.6824228,0.7303697,
91,0.4862,0.9819,0.9695,0.8943769,0.68386126,0.73150724,
92,0.4866,0.9808,0.9695,0.8916313,0.6817866,0.7416783,
93,0.488,0.9824,0.9695,0.89091825,0.68449116,0.72244,
94,0.4884,0.9839,0.971,0.8731613,0.68359214,0.73024184,
95,0.4864,0.9823,0.9693,0.8871217,0.6839027,0.7464566,
96,0.4873,0.9839,0.9681,0.8761858,0.6834618,0.7188541,
97,0.4856,0.9837,0.9701,0.8746913,0.681606,0.72218555,
98,0.4841,0.9838,0.9713,0.8616319,0.6819476,0.74925625,
99,0.4848,0.9864,0.9729,0.8646641,0.68698114,0.74179584,
100,0.4851,0.9867,0.9725,0.85195464,0.6865511,0.7249979,
101,0.4868,0.9872,0.9758,0.8466805,0.68771607,0.7480569,
102,0.4851,0.988,0.9761,0.853565,0.6824711,0.7450855,
103,0.4846,0.9884,0.9781,0.8571961,0.6848857,0.73348516,
104,0.486,0.9891,0.9795,0.8489454,0.6817282,0.7457072,
105,0.485,0.9875,0.9763,0.8472326,0.6902511,0.7409279,
106,0.4861,0.9895,0.9789,0.8318002,0.6865581,0.7342047,
107,0.4867,0.9891,0.9779,0.83757675,0.6856851,0.73830736,
108,0.4858,0.9894,0.9793,0.8327354,0.68727785,0.73926294,
109,0.4817,0.9902,0.9819,0.840616,0.68370205,0.7450508,
110,0.4856,0.9902,0.9809,0.8345376,0.68922275,0.7324161,
111,0.4849,0.9903,0.9813,0.8413735,0.68336415,0.7314412,
112,0.485,0.9894,0.9789,0.8210241,0.68430936,0.7287898,
113,0.4853,0.99,0.98,0.83454764,0.6882419,0.72448415,
114,0.484,0.9884,0.9775,0.8330611,0.6888094,0.73682284,
115,0.4846,0.9907,0.9819,0.836859,0.68417525,0.74542254,
116,0.485,0.9885,0.9769,0.82576567,0.683365,0.737243,
117,0.4838,0.9907,0.9821,0.815642,0.6892299,0.7532253,
118,0.484,0.9895,0.979,0.8207949,0.6874554,0.7370427,
119,0.4849,0.99,0.9796,0.8143338,0.68775415,0.73317325,
120,0.4832,0.9912,0.9811,0.81724864,0.6826055,0.7461402,
121,0.483,0.9904,0.9803,0.80732703,0.6879032,0.73923975,
122,0.4851,0.9899,0.9783,0.8000551,0.67946047,0.7351961,
123,0.4849,0.9903,0.9821,0.801743,0.6865149,0.7413021,
124,0.4866,0.9907,0.9825,0.80738217,0.6839463,0.73257273,
125,0.4835,0.9903,0.9815,0.80555487,0.6908425,0.7357055,
126,0.4848,0.991,0.9824,0.8146572,0.6829693,0.7352205,
127,0.4848,0.9907,0.9808,0.79586935,0.68397653,0.7374913,
128,0.4866,0.9916,0.9821,0.8179906,0.6859239,0.7306686,
129,0.4851,0.9912,0.9825,0.80769235,0.6838921,0.73161525,
130,0.4849,0.9915,0.983,0.7960321,0.68454653,0.7286027,
131,0.485,0.9914,0.9828,0.80092406,0.6860562,0.7318379,
132,0.4846,0.9922,0.9864,0.79260993,0.6878453,0.7341928,
133,0.4859,0.9922,0.9862,0.7936673,0.6881053,0.7205738,
134,0.4838,0.9927,0.9871,0.79033935,0.6901555,0.7256213,
135,0.4844,0.9928,0.9867,0.7779689,0.69158804,0.742398,
136,0.4854,0.9928,0.9849,0.79024875,0.68596405,0.73952943,
137,0.4866,0.9917,0.9829,0.7860216,0.6872033,0.7307981,
138,0.4882,0.9925,0.9845,0.7862504,0.68552995,0.73318034,
139,0.4869,0.9931,0.9851,0.78373533,0.68458444,0.73272467,
140,0.4865,0.9924,0.9843,0.7785811,0.68259716,0.7367313,
141,0.4875,0.9924,0.9829,0.779761,0.6872018,0.719771,
142,0.4868,0.994,0.9878,0.7856431,0.6880456,0.7280313,
143,0.4859,0.9939,0.9871,0.7843591,0.6825237,0.7368986,
144,0.4874,0.9928,0.9848,0.77754724,0.6838123,0.7202443,
145,0.486,0.9939,0.9878,0.7863505,0.6836726,0.7309116,
146,0.4846,0.9952,0.9905,0.778956,0.6828105,0.72845757,
147,0.4868,0.9945,0.988,0.77878135,0.6847017,0.72195035,
148,0.4858,0.9956,0.9903,0.7833503,0.6847334,0.73060143,
149,0.4874,0.9954,0.99,0.7760425,0.6848337,0.7248595,
