,GEN_VALIDITY,FAKE_BOT_EVA,REAL_NORMAL_EST,REAL_BOT_EVA,D_Loss_Real_Bot,D_Loss_Fake_Bot,D_Loss_Real_Normal,G_Loss,Time
67,0.8329,0.027,0.9236,0.0393,0.57962245,1.1716092,0.58283204,0.21288408,
68,0.8369,0.0225,0.9251,0.0382,0.57429874,1.1696246,0.5745646,0.21369784,
69,0.8403,0.0211,0.9284,0.0356,0.56650937,1.1705922,0.56869304,0.20719573,
70,0.8432,0.0209,0.9314,0.0341,0.56071186,1.1669432,0.56157935,0.19264801,
71,0.8321,0.0224,0.9328,0.0337,0.55511844,1.1654893,0.55613065,0.20476112,
72,0.8417,0.021,0.9346,0.0328,0.5490756,1.1649234,0.5499804,0.19655655,
73,0.8388,0.0205,0.9369,0.0316,0.54352176,1.1637675,0.5446628,0.20329623,
74,0.8436,0.0185,0.9386,0.0317,0.53951687,1.1636915,0.54129964,0.19468471,
75,0.8388,0.0189,0.9405,0.0285,0.5339802,1.163109,0.5348752,0.20423612,
76,0.8414,0.0179,0.9415,0.028,0.52886206,1.1620212,0.53090537,0.19160734,
77,0.8406,0.0185,0.9442,0.0271,0.5239953,1.1624893,0.5254323,0.19365174,
78,0.839,0.017,0.9451,0.0272,0.51997465,1.160773,0.5213949,0.1992376,
79,0.8455,0.0166,0.9473,0.0254,0.51607823,1.160376,0.51757264,0.19124353,
80,0.8452,0.0147,0.9476,0.0253,0.51218325,1.1598523,0.51271975,0.18670428,
81,0.8393,0.0163,0.9497,0.0241,0.50802445,1.1598921,0.5094594,0.1936562,
82,0.8469,0.0144,0.9509,0.0236,0.5046344,1.1585132,0.5050143,0.19525456,
83,0.8515,0.0148,0.9528,0.0237,0.50062793,1.1576608,0.50212467,0.18623438,
84,0.8381,0.014,0.9545,0.022,0.49777496,1.1579192,0.49871328,0.18483725,
85,0.8476,0.0127,0.9545,0.0232,0.49411044,1.1567171,0.49483952,0.19751443,
86,0.8431,0.0127,0.9558,0.0222,0.49107593,1.1577247,0.4923803,0.19583544,
87,0.8433,0.0145,0.9577,0.0209,0.48823243,1.1552802,0.49004823,0.18467833,
88,0.8536,0.0133,0.9579,0.0207,0.4852083,1.15551,0.48613757,0.1810901,
89,0.8477,0.0123,0.9596,0.0205,0.48267475,1.1550452,0.4835043,0.18599644,
90,0.8505,0.0124,0.9597,0.0188,0.4796646,1.1555158,0.48115158,0.19494054,
91,0.8429,0.0114,0.9619,0.0192,0.4775179,1.1551167,0.47810635,0.18746684,
92,0.8469,0.0114,0.9617,0.0188,0.47478542,1.1551399,0.4757783,0.19172424,
93,0.847,0.0111,0.963,0.018,0.47213975,1.1540153,0.47368342,0.17970827,
94,0.8514,0.0103,0.9638,0.0182,0.47016245,1.1540407,0.47082907,0.17618825,
95,0.8437,0.0111,0.9651,0.0169,0.4678265,1.1534705,0.46892092,0.17465639,
96,0.8522,0.01,0.9654,0.0168,0.46613327,1.1531266,0.46672964,0.17131965,
97,0.844,0.0099,0.9658,0.0165,0.46364957,1.1530452,0.46476617,0.18069519,
98,0.8551,0.0099,0.967,0.0161,0.46196625,1.1517721,0.4631524,0.17492218,
99,0.8543,0.0099,0.9676,0.0154,0.4598806,1.1511319,0.46076122,0.17073886,
100,0.8552,0.0089,0.9677,0.0157,0.45799652,1.1506811,0.45997497,0.17173642,
101,0.8543,0.0094,0.9691,0.0154,0.45700112,1.1510868,0.45695487,0.17054777,
102,0.8549,0.0088,0.9698,0.0146,0.45466158,1.1504536,0.45551288,0.17235391,
103,0.8455,0.0092,0.9705,0.0145,0.45316955,1.1497625,0.4538861,0.17994268,
104,0.8511,0.0076,0.9709,0.014,0.4519778,1.1495904,0.45236498,0.17771235,
105,0.8585,0.0082,0.9713,0.0141,0.4503352,1.1501322,0.4507939,0.17133683,
106,0.8537,0.009,0.9729,0.0133,0.44875315,1.1497808,0.44945782,0.17536017,
107,0.8482,0.0076,0.9724,0.0136,0.44730088,1.1482326,0.44800073,0.17276256,
108,0.8454,0.0078,0.974,0.0129,0.44602215,1.1480625,0.4464289,0.17848818,
109,0.8556,0.0081,0.974,0.013,0.44479403,1.1485227,0.4454137,0.17201734,
110,0.8502,0.0071,0.9744,0.013,0.44364884,1.1474596,0.4439326,0.16958424,
111,0.856,0.0067,0.9742,0.0125,0.44236094,1.1469998,0.4448621,0.16834873,
112,0.8524,0.0067,0.9759,0.0126,0.44106153,1.1466383,0.4420883,0.17582388,
113,0.8505,0.0068,0.9762,0.0118,0.44001323,1.1464765,0.44038147,0.16928226,
114,0.8471,0.0061,0.9768,0.0117,0.43908575,1.1461687,0.44032195,0.16722034,
115,0.8441,0.0067,0.9772,0.0112,0.43800986,1.1457134,0.4387412,0.17339765,
116,0.8529,0.0061,0.9775,0.011,0.43671244,1.1455696,0.43761355,0.1676629,
117,0.8533,0.0066,0.9778,0.0109,0.43585345,1.144907,0.4364198,0.16819486,
118,0.8542,0.0058,0.9785,0.0108,0.43481162,1.1446999,0.4352964,0.17126368,
119,0.8534,0.0051,0.978,0.0113,0.43420914,1.1447705,0.43454862,0.1647832,
120,0.8537,0.006,0.9798,0.0102,0.43321425,1.1440606,0.43372807,0.17680861,
121,0.8496,0.0054,0.9797,0.0105,0.432372,1.143188,0.43309015,0.17385173,
122,0.8565,0.0056,0.9799,0.01,0.43161762,1.1429776,0.43222222,0.1688196,
123,0.8532,0.0057,0.9808,0.0099,0.43069533,1.1427567,0.4315903,0.16653617,
124,0.8516,0.0047,0.9809,0.01,0.4299785,1.1427125,0.43060407,0.16914688,
125,0.8549,0.0049,0.9811,0.0098,0.42946708,1.142012,0.43087953,0.16758032,
126,0.8518,0.0052,0.9821,0.0092,0.42865247,1.1421225,0.42909586,0.16422608,
127,0.8484,0.0049,0.9825,0.009,0.4280318,1.1412481,0.428345,0.17134336,
128,0.853,0.0049,0.9817,0.0095,0.42704222,1.1409081,0.42816448,0.16805719,
129,0.8454,0.0048,0.9832,0.0089,0.4263847,1.1400887,0.42739463,0.16200812,
130,0.8561,0.0051,0.983,0.0089,0.4257983,1.1401224,0.42676303,0.1641257,
131,0.8524,0.0046,0.9831,0.0086,0.4255063,1.1400297,0.4260967,0.16060685,
132,0.8547,0.0041,0.9839,0.0083,0.42498484,1.1390125,0.42536134,0.15616816,
133,0.8639,0.0038,0.9837,0.0088,0.4244368,1.1391058,0.4248399,0.16021743,
134,0.849,0.0042,0.9842,0.0084,0.42368367,1.1387302,0.4242161,0.17016652,
135,0.8498,0.0038,0.9846,0.0083,0.42328125,1.137885,0.42368275,0.16545434,
136,0.8564,0.004,0.9847,0.0078,0.42255062,1.13789,0.42326716,0.15873949,
137,0.8612,0.0041,0.9854,0.0085,0.4221036,1.1373252,0.42298692,0.16502465,
138,0.8553,0.0038,0.9851,0.0076,0.42166662,1.1369994,0.4226264,0.16491099,
139,0.8602,0.0034,0.985,0.0077,0.42136455,1.136706,0.4220239,0.16003008,
140,0.8504,0.0038,0.9856,0.0074,0.42081064,1.1363732,0.42121288,0.1570694,
141,0.8525,0.0036,0.986,0.0073,0.4203311,1.1358839,0.4209511,0.15582103,
142,0.8608,0.0038,0.986,0.0074,0.4200165,1.1356715,0.42046,0.15990856,
143,0.8514,0.0034,0.9863,0.0074,0.41972724,1.1359181,0.41999456,0.1679002,
144,0.8583,0.0036,0.987,0.0069,0.41919097,1.1346982,0.41993222,0.15926154,
145,0.8614,0.0033,0.9868,0.007,0.41903922,1.1346498,0.4193352,0.15879956,
146,0.8627,0.0031,0.9875,0.0067,0.41861698,1.1342407,0.41907784,0.15678684,
147,0.8621,0.0034,0.9871,0.0068,0.41818944,1.1339455,0.4185977,0.15615827,
148,0.8612,0.0032,0.9874,0.0067,0.41786772,1.1331676,0.41843635,0.161086,
149,0.8542,0.0029,0.9874,0.0069,0.41744578,1.1330441,0.41859698,0.15932865,
