,GEN_VALIDITY,FAKE_BOT_EVA,REAL_NORMAL_EST,REAL_BOT_EVA,D_Loss_Real_Bot,D_Loss_Fake_Bot,D_Loss_Real_Normal,G_Loss,Time
66,0.9254,0.0102,0.9704,0.0219,0.45629048,1.1801786,0.45623618,0.09670662,
67,0.929,0.0093,0.9726,0.0181,0.45860586,1.1785318,0.45417333,0.07996112,
68,0.9223,0.0069,0.9732,0.018,0.45266718,1.1775192,0.45208713,0.07812605,
69,0.9228,0.0066,0.9723,0.0195,0.44863138,1.1769484,0.44906616,0.084499545,
70,0.9354,0.0068,0.9745,0.0166,0.44612625,1.1758075,0.44701827,0.08023565,
71,0.926,0.0059,0.9754,0.0156,0.44362426,1.174239,0.4450764,0.08502336,
72,0.9249,0.0075,0.9755,0.0174,0.4421784,1.1729473,0.44283116,0.077124335,
73,0.9263,0.0055,0.977,0.0159,0.44075146,1.1722481,0.44061962,0.075076796,
74,0.9274,0.0055,0.9775,0.0145,0.43827146,1.1712705,0.43957248,0.079376936,
75,0.9263,0.0069,0.9776,0.0151,0.43707627,1.1696783,0.43773252,0.08966753,
76,0.9192,0.0083,0.979,0.0138,0.4379021,1.1683404,0.43632397,0.096673965,
77,0.923,0.006,0.9788,0.0142,0.43508163,1.1680858,0.43523616,0.09376511,
78,0.9264,0.0054,0.9811,0.0131,0.43302092,1.1661069,0.4345126,0.08270648,
79,0.9357,0.0042,0.9811,0.0117,0.43106377,1.1657078,0.43191847,0.0733763,
80,0.935,0.0038,0.9823,0.0112,0.43210515,1.1648324,0.43097478,0.07942831,
81,0.931,0.0047,0.9825,0.0122,0.42840642,1.163012,0.42939374,0.077012666,
82,0.9293,0.0047,0.9831,0.011,0.42766944,1.1622479,0.42851508,0.07964271,
83,0.9292,0.0056,0.9823,0.0123,0.43042594,1.1611391,0.42694512,0.08044925,
84,0.9392,0.0042,0.9844,0.0101,0.4252908,1.1601787,0.42667177,0.06541645,
85,0.9361,0.0044,0.9847,0.0098,0.4277083,1.1605667,0.42547157,0.06706853,
86,0.9351,0.0044,0.985,0.0095,0.42736974,1.1592538,0.4241203,0.06898541,
87,0.9325,0.0043,0.9857,0.0102,0.42854643,1.1573168,0.4245474,0.07686213,
88,0.937,0.0037,0.986,0.0095,0.4220033,1.1564015,0.42265278,0.063877724,
89,0.9357,0.0033,0.9859,0.009,0.4222497,1.1558671,0.42186424,0.070025995,
90,0.9353,0.0045,0.9871,0.0092,0.4208679,1.1546189,0.42143208,0.07282846,
91,0.9258,0.0037,0.9872,0.0086,0.4198919,1.1539927,0.42039633,0.077954434,
92,0.9371,0.0039,0.987,0.0088,0.42133552,1.1526155,0.4199158,0.06927444,
93,0.9305,0.0045,0.9873,0.0088,0.4203227,1.1518091,0.4191524,0.0825681,
94,0.9272,0.0036,0.988,0.0082,0.41852212,1.151008,0.41838437,0.07346226,
95,0.9337,0.0048,0.9887,0.0074,0.41795224,1.150091,0.41831586,0.070170194,
96,0.9399,0.003,0.9891,0.0076,0.41702962,1.1493683,0.4173409,0.065068394,
97,0.9349,0.0032,0.9895,0.0076,0.41653007,1.1487617,0.41753176,0.06951785,
98,0.9378,0.0034,0.9894,0.0079,0.4171916,1.1476139,0.4164663,0.07122025,
99,0.9384,0.0029,0.9894,0.0079,0.41556856,1.1466975,0.41606802,0.07145572,
100,0.9395,0.0025,0.9899,0.008,0.4150688,1.1457225,0.41612345,0.06876325,
101,0.937,0.0029,0.9904,0.0067,0.41509232,1.1448969,0.41519985,0.08009496,
102,0.9319,0.0042,0.9905,0.0062,0.41672936,1.1443079,0.4154495,0.07678152,
103,0.9346,0.0036,0.9909,0.0065,0.41412202,1.143452,0.41452494,0.07714817,
104,0.9349,0.0032,0.9911,0.0062,0.4135981,1.1424639,0.41420832,0.06920808,
105,0.932,0.0034,0.9907,0.0071,0.4133119,1.1418065,0.41424316,0.073516615,
106,0.9367,0.0023,0.991,0.0067,0.41334203,1.1409552,0.41457182,0.06737572,
107,0.9311,0.0028,0.9911,0.0066,0.4129854,1.1404569,0.41344005,0.075674474,
108,0.9399,0.002,0.991,0.0062,0.41393304,1.1392581,0.41307628,0.064801306,
109,0.9341,0.0027,0.9915,0.0056,0.41600448,1.1390557,0.41275507,0.07345269,
110,0.9404,0.0027,0.9918,0.0051,0.41714287,1.1379814,0.41226918,0.06752229,
111,0.936,0.0019,0.992,0.0058,0.41372985,1.1375244,0.4126894,0.06890886,
112,0.9326,0.0022,0.9926,0.005,0.41162327,1.1364373,0.41234744,0.06613929,
113,0.9394,0.0019,0.9922,0.0057,0.4136934,1.1357751,0.411815,0.07156819,
114,0.9426,0.0021,0.9929,0.0047,0.41118458,1.1352084,0.41147122,0.06742966,
115,0.9407,0.0024,0.9927,0.0055,0.41123423,1.1348493,0.41148168,0.065572456,
116,0.9348,0.0023,0.9926,0.0058,0.4108193,1.1341223,0.41127485,0.07629625,
117,0.9416,0.0021,0.9928,0.0052,0.4115421,1.1332912,0.41164854,0.06176076,
118,0.9349,0.0018,0.9935,0.0045,0.4104935,1.1327115,0.4110135,0.07199496,
119,0.9351,0.0018,0.9937,0.0048,0.41030914,1.131928,0.41067058,0.071447164,
120,0.935,0.0019,0.9936,0.0048,0.41415542,1.1314901,0.4107453,0.06925339,
121,0.9355,0.0018,0.9934,0.0051,0.41060895,1.1308244,0.41048408,0.070743755,
122,0.938,0.0017,0.994,0.0044,0.409942,1.1304702,0.41034538,0.06501903,
123,0.9389,0.0017,0.9939,0.0051,0.40974066,1.1296836,0.410383,0.07160661,
124,0.942,0.0021,0.9941,0.0043,0.4098565,1.1292758,0.41006225,0.06280523,
125,0.9408,0.002,0.9943,0.0043,0.41055828,1.128537,0.40999117,0.067355804,
126,0.941,0.0027,0.9942,0.0044,0.41106054,1.1280676,0.40966383,0.07236475,
127,0.9417,0.0018,0.9944,0.0046,0.4116468,1.1274359,0.40967783,0.060185254,
128,0.9377,0.0021,0.9949,0.0038,0.4091764,1.1273286,0.40947837,0.067375705,
129,0.9367,0.0019,0.9946,0.0041,0.40977794,1.1264229,0.4092172,0.069500916,
130,0.9385,0.0023,0.9945,0.0042,0.41155985,1.1259894,0.40931123,0.062064864,
131,0.9381,0.0016,0.9948,0.0041,0.40887934,1.1254488,0.40973026,0.06379807,
132,0.9453,0.0015,0.9952,0.0039,0.40906742,1.12518,0.4092607,0.06372959,
133,0.9441,0.0013,0.9951,0.0039,0.4086996,1.1243674,0.40999004,0.058975857,
134,0.9378,0.0016,0.9954,0.0038,0.4086423,1.1241033,0.40958497,0.063766256,
135,0.9393,0.0016,0.9953,0.004,0.40853474,1.1239594,0.4088716,0.062023163,
136,0.9419,0.0015,0.9956,0.0036,0.40969718,1.1234057,0.40895867,0.05905151,
137,0.9433,0.0016,0.9956,0.0034,0.40833107,1.122689,0.40887228,0.06731538,
138,0.9416,0.0015,0.9957,0.0036,0.40830648,1.1222665,0.4086087,0.067357205,
139,0.9408,0.0016,0.9959,0.0032,0.40944356,1.122031,0.40873057,0.064104885,
140,0.9409,0.0015,0.9959,0.0033,0.4081353,1.1214997,0.40868694,0.062081598,
141,0.9467,0.0015,0.996,0.0035,0.4081563,1.1217297,0.4089988,0.05536827,
142,0.9491,0.0012,0.9961,0.0033,0.40967184,1.1205682,0.40921792,0.057806663,
143,0.9463,0.0018,0.9958,0.0034,0.40908858,1.1201373,0.40852863,0.062141426,
144,0.9441,0.0016,0.996,0.0037,0.4081238,1.1198918,0.40834862,0.060631596,
145,0.9425,0.0013,0.9959,0.0035,0.40781465,1.1195643,0.40816227,0.06621241,
146,0.9469,0.0015,0.9963,0.0032,0.4127099,1.1191097,0.40844324,0.055780884,
147,0.9486,0.0012,0.9965,0.0028,0.41333517,1.1188612,0.4081304,0.056273367,
148,0.9401,0.0019,0.9968,0.0027,0.4085859,1.1187314,0.40851605,0.06256063,
149,0.9471,0.0012,0.9966,0.0028,0.41342732,1.1184242,0.40840116,0.059968043,
